10,12,9,8,10,10,9,10,10,10,9,11,10,11,12,11,9,8,11,10
8,10,11,10,11,10,10,12,8,10,10,11,9,10,10,10,9,11,10,10
9,9,9,9,9,13,8,12,12,9,11,9,10,11,11,11,11,9,9,9
9,10,11,10,11,10,8,8,9,8,9,10,10,11,14,12,9,12,9,10
9,10,10,10,10,10,12,10,8,11,10,10,9,11,9,10,10,9,11,11
9,9,10,10,8,8,12,8,11,11,9,12,10,13,13,9,11,9,8,10
9,9,12,9,8,11,9,10,9,11,10,10,10,10,9,11,8,10,13,12
2,4,1,1,1,163,2,0,0,0,3,4,3,0,3,1,2,1,7,2
8,13,8,10,9,13,10,9,8,10,9,11,11,11,11,8,9,10,11,11
1,1,1,4,1,165,1,2,0,3,1,2,4,3,1,2,2,2,1,3
11,10,10,10,9,10,12,11,8,10,10,10,11,9,8,10,10,10,11,10
12,12,11,10,10,13,8,8,10,8,9,9,11,11,12,9,8,10,9,10
4,3,1,3,5,160,2,0,2,4,1,1,0,2,2,1,4,2,1,2
9,12,9,8,13,11,9,8,9,8,12,9,12,8,10,12,12,9,10,10
9,10,12,9,13,9,11,10,8,9,8,10,12,10,9,10,9,12,10,10
10,10,11,10,9,12,10,9,9,11,11,10,10,12,12,9,9,8,10,8
11,8,10,9,9,9,8,10,9,10,8,9,10,11,13,13,10,13,11,9
13,13,8,8,10,13,9,11,10,10,9,11,8,10,11,9,10,9,9,9
9,10,9,11,9,11,10,9,8,11,11,12,9,12,8,13,9,10,10,9
9,10,12,8,9,11,13,12,9,8,8,9,11,11,9,11,9,11,10,10
9,9,11,11,10,9,8,12,10,9,11,10,11,9,10,10,11,9,11,10
9,12,11,8,11,10,8,9,10,11,10,11,8,10,12,9,10,10,10,11
9,11,8,10,11,12,9,8,12,10,10,11,10,10,11,8,8,12,11,9
9,10,11,8,8,9,9,11,10,10,11,11,9,10,10,12,9,11,12,10
11,9,9,12,9,13,10,9,10,10,12,8,8,9,9,10,11,11,11,9
12,10,8,9,10,10,9,10,9,10,9,9,12,10,8,11,9,9,16,10
11,11,11,8,12,10,11,9,9,12,8,11,9,9,9,14,9,8,9,10
10,12,12,9,9,9,8,10,10,10,9,11,11,11,9,8,10,13,8,11
11,12,8,10,9,10,8,10,9,12,11,12,10,8,10,9,9,12,10,10
11,10,12,10,10,10,10,12,8,11,10,12,10,11,9,8,9,9,9,9
